epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1099,1.92699,2.46538,2.07915,0.00143,0.1875,0.00068,0.00024,3.27708,409.292,3.82227,0.000661538,0.000661538,0.000661538
2,146.878,1.97035,2.44384,2.15376,0.10791,0.0625,0.02025,0.00365,2.83665,4.53084,3.44888,0.00130191,0.00130191,0.00130191
3,225.009,1.96821,2.43074,2.14248,0.33423,0.4375,0.30389,0.13917,2.34864,3.70551,2.42413,0.00191587,0.00191587,0.00191587
4,301.856,1.90419,2.32873,2.07688,0.13551,0.25,0.14245,0.06138,2.30211,3.44281,2.56224,0.0018812,0.0018812,0.0018812
5,373.067,1.84703,2.18949,2.00497,0.42172,0.5,0.31656,0.07503,2.42201,3.67314,2.43818,0.0018416,0.0018416,0.0018416
6,445.023,1.78182,2.08656,1.95164,0.63526,0.5,0.52032,0.18365,2.29552,2.03118,2.41241,0.001802,0.001802,0.001802
7,520.986,1.75101,2.02603,1.9155,0.55367,0.3125,0.30934,0.17109,2.22363,3.22608,2.36261,0.0017624,0.0017624,0.0017624
8,592.872,1.7664,2.01355,1.93643,0.66538,0.6875,0.62443,0.21831,2.25135,1.79499,2.32566,0.0017228,0.0017228,0.0017228
9,668.988,1.72995,1.97269,1.89582,0.59537,0.46097,0.49142,0.19079,2.38322,1.89883,2.24278,0.0016832,0.0016832,0.0016832
10,741.137,1.71206,1.8982,1.89878,0.7319,0.5625,0.58829,0.16864,2.51446,2.52587,2.70622,0.0016436,0.0016436,0.0016436
11,811.982,1.68235,1.83211,1.8638,0.66321,0.5625,0.58323,0.23671,2.13351,1.751,2.10966,0.001604,0.001604,0.001604
12,888.566,1.66553,1.79374,1.83973,0.61437,0.5625,0.68737,0.20861,2.46218,1.76601,2.47662,0.0015644,0.0015644,0.0015644
13,960.254,1.65491,1.73257,1.8459,0.54436,0.67262,0.66007,0.26133,2.18351,1.75906,2.22083,0.0015248,0.0015248,0.0015248
14,1037.66,1.63605,1.72556,1.83988,0.77119,0.625,0.71085,0.28961,2.19442,1.59332,2.21093,0.0014852,0.0014852,0.0014852
15,1115.66,1.63773,1.68122,1.81711,0.82468,0.5625,0.69775,0.3007,2.10956,2.00387,2.07359,0.0014456,0.0014456,0.0014456
